年度,事件名稱,災害類型,縣市,鄉鎮,村里,災害地點,速報連結,災害時間,審查會議日期
105,其他,"沖蝕,地滑",嘉義縣,中埔鄉,沄水村,沄水村大興 10 號,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-嘉義中埔-002.pdf,20160908,2016-12-08 00:00:00
105,其他,土石流,臺南市,楠西區,照興里,南市 DF-032,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-台南楠西-001.pdf,20160906,2016-12-08 00:00:00
105,其他,沖蝕,嘉義縣,中埔鄉,頂埔村,頂埔村頂埔 5 號,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-嘉義中埔-001.pdf,20160905,2016-12-08 00:00:00
105,其他,沖蝕,桃園市,復興區,霞雲里,霞雲溪,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-桃園復興-001.pdf,20160819,2016-12-08 00:00:00
105,尼伯特颱風,崩塌,臺東縣,東河鄉,尚德村,泰源南溪,https://246.swcb.gov.tw/AllFiles/PDF/105年尼伯特颱風-台東東河-001(摘).pdf,20160709,2016-12-08 00:00:00
105,0611豪雨,土石流,屏東縣,霧臺鄉,霧臺村,霧大二號橋,https://246.swcb.gov.tw/AllFiles/PDF/105年0611豪雨-屏東霧台-001(摘).pdf,20160611,2016-12-08 00:00:00
105,其他,"沖蝕,地滑",新竹縣,寶山鄉,寶山村,水仙路 5 巷 0K+400 處,https://246.swcb.gov.tw/AllFiles/PDF/105年其他-新竹寶山-001(摘).pdf,20160316,2016-12-08 00:00:00
104,杜鵑颱風,"沖蝕,崩塌",新北市,坪林區,粗窟里,台9線34k,https://246.swcb.gov.tw/AllFiles/PDF/104年杜鵑颱風-新北坪林-001-(最).pdf,20150928,2016-01-04 00:00:00
104,杜鵑颱風,土石流,新北市,坪林區,大林里,9線39k,https://246.swcb.gov.tw/AllFiles/PDF/104年杜鵑颱風-新北坪林-002-(最).pdf,20150928,2016-01-04 00:00:00
104,杜鵑颱風,"沖蝕,崩塌",新北市,烏來區,烏來里,那魯灣飯店,https://246.swcb.gov.tw/AllFiles/PDF/104年杜鵑颱風-新北烏來-001-(最).pdf,20150928,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,桃園市,復興區,奎輝里,嘎色鬧四橋,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-桃園復興-001-(最).pdf,20150902,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,烏來區,忠治里,忠治里金堰80-1號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北烏來-008-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,宜蘭縣,大同鄉,四季村,敦厚橋,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-宜蘭大同-001-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,新店區,廣興里,平廣路一段 273 號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-013.pdf,20150808,2016-03-16 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,新店區,廣興里,平廣路一段22號 (長青休閒園區民宅),https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-006-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,新店區,屈尺里,新烏路二段193號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-005-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"沖蝕,洪水",新北市,三峽區,竹崙里,竹崙路162號,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北三峽-001-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,桃園市,復興區,羅浮里,合流部落(台7線21k),https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-桃園復興-002-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,新店區,廣興里,平廣路一段365號民宅,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-004-(最).pdf,20150808,2016-03-16 00:00:00
104,蘇迪勒颱風,土石流,新北市,新店區,廣興里,小坑溪,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-008-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,土石流,新北市,新店區,廣興里,平廣路一段151號民宅旁野溪,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-007-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"沖蝕,洪水",新北市,新店區,廣興里,平廣溪左岸邊坡,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-003-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,沖蝕,新北市,新店區,廣興里,土石流潛勢溪流新北DF091,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-002-(最).pdf,20150808,2016-01-04 00:00:00
104,蘇迪勒颱風,"沖蝕,洪水",新北市,新店區,廣興里,平廣路一段7號民宅,https://246.swcb.gov.tw/AllFiles/PDF/104年蘇迪勒颱風-新北新店-001-(最).pdf,20150808,2016-01-04 00:00:00
